Clicks	Source	Target
1192	Interacting With Payment Page	Compra Exitosa
960	Change Flow	Click on Recargas y Servicios category
903	Change Flow	Click on back arrow
285	Interacting With Payment Page	Pago Fallido
137	Interacting With Payment Page	Submitted card (New Card) payment form
61	Interacting With Payment Page	Compra Fallida
253	Interacting With Payment Page	No continuan
51	Change Flow	Click on undefined category
50	Change Flow	Click on Cine & Streaming category
41	Change Flow	Click on vip Tab
38	Change Flow	Click on Boletos de AutobÃƒÂºs category
28	Change Flow	Click on Videojuegos category
25	Change Flow	click on Banner VIP from Home.
20	Change Flow	Click on Transporte y viaje category
19	Change Flow	Click on Vip category
17	Interacting With Payment Page	Clicked Back
17	Change Flow	Click on Gift Cards y MembresÃƒÂ­as category
10	Change Flow	Click on share referral code via WhatsApp button
9	Change Flow	Click on mobile Tab
7	Change Flow	Click on share referral code via Facebook button
4	Change Flow	Click on Entretenimiento category
2	Interacting With Payment Page	Paypal: Cancelled PayPal process
2	Change Flow	Click on giftcards Tab
2	Change Flow	Click on movie Tab
2	Change Flow	Click on telefono Tab
2	Change Flow	click on Banner from hamburguer menu.
1	Interacting With Payment Page	Focused: celular-operator_amount field
1	Interacting With Payment Page	Paypal: Authorized PayPal payment
1	Interacting With Payment Page	Recarga Saldo de Movistar al nÃƒÂºmero 2283388855 Ã‚Â¡Recarga Exitosa!
1	Interacting With Payment Page	Focused: service number field
1	Interacting With Payment Page	skip-button
